## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.catnumlist,entity.min_original_price,entity.max_original_price,entity.min_current_price,entity.max_current_price,entity.averagerating,entity.totalreviewcount,entity.new_prdt_end_date,entity.mediacode,entity.keywords
9665,Scottish Lace Bear Baby Blanket,"[""Baby Gear"",""Baby Gear"",""Baby Blankets""]",,//s7.landsend.com/is/image/LandsEnd/012450_AJ13_LF_BLU?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/scottish-lace-bear-baby-blanket/id_9665,2174,,"[15586,15593,15587]",39.95,39.95,39.95,39.95,4.8,198,,AE,"[""Baby"",""Gifts"",""For Boys"",""For Girls"",""For Baby"",""New Baby"",""Other""]"
19107,Scottish Lace Bunny Baby Blanket,"[""Baby Gear"",""Baby Gear"",""Baby Blankets""]",,//s7.landsend.com/is/image/LandsEnd/063121_AJ13_LF_1BV?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/scottish-lace-bunny-baby-blanket/id_19107,1576,,"[15586,15593,15587]",39.95,39.95,39.95,39.95,4.8,123,,AE,"[""Baby"",""Gifts"",""For Boys"",""For Girls"",""For Baby"",""New Baby""]"
24453,Men's Regimental Stripe Tie,"[""Accessories"",""Accessories"",""Ties""]",,//s7.landsend.com/is/image/LandsEnd/069209_A516_LF_T2U?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/mens-regimental-stripe-tie/id_24453,125,,"[15398,15399,15413]",59.95,64.95,59.95,64.95,4.1,27,,AE,"[""Adult"",""Mens"",""For Him"",""Birthday"",""Regular"",""Long""]"
27370,Needlepoint Personalized Christmas Stocking,"[""Home Decor"",""Decorative Accents"",""Stockings & Holders""]",,//s7.landsend.com/is/image/LandsEnd/068385_AE08_LF_0R0?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/needlepoint-personalized-christmas-stocking/id_27370,35088,,"[15415,15416,15420]",39.95,39.95,39.95,39.95,4.5,12,,AE,"[""Adult"",""Gifts"",""For Home"",""Holiday"",""Christmas"",""Other""]"
44973,Scottish Lace Wheels Baby Blanket,"[""Baby Gear"",""Baby Gear"",""Baby Blankets""]",,//s7.landsend.com/is/image/LandsEnd/073194_AJ13_LF_BLU?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/scottish-lace-wheels-baby-blanket/id_44973,1760,,"[15586,15593,15587]",39.95,39.95,39.95,39.95,4.7,105,,AE,"[""Baby"",""Gifts"",""For Boys"",""For Girls"",""For Baby"",""New Baby""]"
46374,Women's Sport Knit High Rise Corduroy Elastic Waist Pants,"[""Clothing"",""Bottoms"",""Pants""]",,//s7.landsend.com/is/image/LandsEnd/072136_FW21_FF_DPB?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/womens-sport-knit-high-rise-corduroy-elastic-waist-pants/id_46374,14718,,"[15324,15329,15331]",49.95,54.95,49.95,54.95,5.0,1,,AE,"[""Adult"",""Womens"",""Fall"",""Regular"",""Petite"",""Tall""]"
54149,Men's Jersey Knit Pants,"[""Clothing"",""Bottoms"",""Pants""]",,//s7.landsend.com/is/image/LandsEnd/075874_FW21_FF_BLA?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/mens-jersey-knit-pants/id_54149,9023,,"[15324,15329,15331]",39.95,44.95,39.95,44.95,4.3,1036,,AE,"[""Adult"",""Mens"",""For Him"",""Regular"",""Tall""]"
95795,Girls Microfiber Tights,"[""Clothing"",""Socks & Hosiery"",""Hosiery""]",,//s7.landsend.com/is/image/LandsEnd/90559_AK09_LF_CLN?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/girls-microfiber-tights/id_95795,577,,"[15324,15378,15380]",9.95,9.95,9.95,9.95,3.1,88,,AE,"[""Little Girl size 4-6X"",""Big Girl size 7-16"",""Toddler 2T-4T"",""Girls"",""Back To School"",""Regular""]"
106517,Girls Solid Cable Knee Socks (3-pack),"[""Clothing"",""Socks & Hosiery"",""Socks""]",,//s7.landsend.com/is/image/LandsEnd/93594_AK04_M1_CLN?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/girls-solid-cable-knee-socks-3-pack/id_106517,872,,"[15324,15378,15379]",15.95,15.95,15.95,15.95,4.0,99,,AE,"[""Little Kid size 4-7"",""Big Kid size 8-20"",""Girls"",""Regular""]"
106981,Women's Sport Knit High Rise Elastic Waist Pull On Pants,"[""Clothing"",""Bottoms"",""Pants""]",,//s7.landsend.com/is/image/LandsEnd/094026_FW21_FF_DCH?$ix_img_v1$&amp;wid=170&amp;hei=255,,https://www.landsend.com/products/womens-sport-knit-high-rise-elastic-waist-pull-on-pants/id_106981,40204,,"[15324,15329,15331]",39.95,44.95,39.95,44.95,4.0,1,,AE,"[""Adult"",""Womens"",""Spring"",""Fall"",""Regular"",""Petite"",""Tall""]"
